새주소,지번주소,좌표정보,좌표정보2,테마코드,콘텐츠_코드,언어셋,콘텐츠_명,시도명,구명,동명,산지여부,주_번지,부_번지,기타주소,전화번호,상세정보_값_1,상세정보_값_2,상세정보_값_3,상세정보_값_4,상세정보_값_5,상세정보_값_6,상세정보_값_7,상세정보_값_8,상세정보_값_9,상세정보_값_10,상세정보_값_11,상세정보_값_12,상세정보_값_13,상세정보_값_14,상세정보_값_15,상세정보_값_16,상세정보_값_17,상세정보_값_18,상세정보_값_19,상세정보_값_20,상세정보_이름_1,상세정보_이름_2,상세정보_이름_3,상세정보_이름_4,상세정보_이름_5,상세정보_이름_6,상세정보_이름_7,상세정보_이름_8,상세정보_이름_9,상세정보_이름_10,상세정보_이름_11,상세정보_이름_12,상세정보_이름_13,상세정보_이름_14,상세정보_이름_15,상세정보_이름_16,상세정보_이름_17,상세정보_이름_18,상세정보_이름_19,상세정보_이름_20,좌표데이터,좌표_타입,선_두께,테마_선_색상,키워드,등록일,수정일
대학로 60,종로구 연건동 178-1,127.002567473,37.576515848,100115,ID000051,KOR,김동수플레이하우스,,종로구,,,,,,02-3675-4675,공연장,89,29,170,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
대학로14길 29,종로구 혜화동 163-24,127.002320343,37.584605712,100115,ID000053,KOR,세모극장,,종로구,,,,,,02-741-9935,공연장,209,59,223,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,0,#0000FF,,03/03/2017,03/03/2017
이화장길 26,종로구 이화동 139,127.003921421,37.576622439,100115,ID000048,KOR,예술마당2관,,종로구,,,,,,1599-2117,공연장,346,85,230,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
우정국로 55,종로구 견지동 45,126.982,37.574,100115,ID000055,KOR,전통문화예술공연장,,종로구,,,,,,02-2011-1997,공연장,432,159,242,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
정동길 3,중구 정동 22,126.969962288,37.568166649,100115,ID000117,KOR,강북정동웨딩극장,,중구,,,,,,,공연장,382,211,302,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
새문안로 22,중구 충정로1가 68,126.968673159,37.567098908,100115,ID000118,KOR,문화일보홀,,중구,,,,,,02-3701-5754,공연장,1421,60,302,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,0,#0000FF,,03/03/2017,03/03/2017
명동길 26,중구 명동2가 50-14,126.983745547,37.563447177,100115,ID000120,KOR,명동난타극장,,중구,,,,,,02-739-8288,공연장,1669,148,382,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
소파로 138,중구 예장동 8-19,126.988324797,37.558954264,100115,ID000119,KOR,남산예술센터(드라마센터),,중구,,,,,,02-758-2000,공연장,1639,250,476,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,0,#0000FF,,03/03/2017,03/03/2017
세종대로19길 16,중구 정동 3-7,126.975901,37.566778,100115,ID000123,KOR,세실극장,,중구,,,,,,02-742-7601,공연장,315,60,190,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,1,#0000FF,,03/03/2017,03/03/2017
남대문시장10길 2,중구 회현동1가 204,126.979600692,37.560369519,100115,ID000121,KOR,메사팝콘홀,,중구,,,,,,02-318-8351,공연장,1515,125.6,544,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
퇴계로34길 28,중구 필동2가 84-1,126.993997147,37.558364477,100115,ID000124,KOR,남산국악당,,중구,,,,,,02-2261-0512,공연장,380,343.3,330,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,0,#0000FF,,03/03/2017,03/03/2017
퇴계로36길 10 한국의집,중구 필동2가 80-2,126.994610858,37.560195684,100115,ID000122,KOR,한국의집 민속극장,,중구,,,,,,02-2266-9101,공연장,1269,103,156,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,0,#0000FF,,03/03/2017,03/03/2017
창경궁로 258-12,종로구 명륜2가 21-18,127.000401269,37.583727004,100115,ID000024,KOR,열린극장,,종로구,,,,,,02-743-6474,공연장,246,90,150,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
대학로 116,종로구 동숭동 1-115,127.002324801,37.581540101,100115,ID000023,KOR,샘터파랑새극장,,종로구,,,,,,02-747-2070,공연장,366,81,160,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,0,#0000FF,,03/03/2017,03/03/2017
이화장길 99,종로구 동숭동 187-12,127.004274176,37.579690404,100115,ID000025,KOR,이랑씨어터,,종로구,,,,,,02-766-1717,공연장,207,66,173,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
동숭길 125,종로구 동숭동 1-42,127.003275927,37.583288311,100115,ID000029,KOR,상상Art Blue,,종로구,,,,,,02-747-7491,공연장,136,30,100,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
세종대로 175 세종이야기,종로구 세종로 81-3,126.976054705,37.572217345,100115,ID000028,KOR,세종문화회관대극장,,종로구,,,,,,02-399-1111,공연장,17620,1653,3075,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,0,#0000FF,,03/03/2017,03/03/2017
대학로12길 46,종로구 동숭동 1-79,127.0030294,37.5839267,100115,ID000030,KOR,학전그린소극장,,종로구,,,,,,02-763-8233,공연장,215,99,180,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,0,#0000FF,,03/03/2017,03/03/2017
세종대로 175 세종이야기,종로구 세종로 81-3,126.976054705,37.572217345,100115,ID000026,KOR,세종체임버홀,,종로구,,,,,,02-399-1111,공연장,1627,81,443,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,0,#0000FF,,03/03/2017,03/03/2017
세종대로 175 세종이야기,종로구 세종로 81-3,126.976054705,37.572217345,100115,ID000027,KOR,세종M씨어터,,종로구,,,,,,02-399-1111,공연장,2638,308.56,609,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,0,#0000FF,,03/03/2017,03/03/2017
가마산로25길 9-24,구로구 구로동 101,126.888947117,37.496556513,100115,ID000216,KOR,구로아트밸리예술극장,,구로구,,,,,,02-2029-1700,공연장,1363,296,611,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,0,#0000FF,,03/03/2017,03/03/2017
마른내로 47 명보극장,중구 초동 18-5,126.993216657,37.5646809,100115,ID000127,KOR,명보아트홀 다온홀,,중구,,,,,,02-2274-2121,공연장,926,132.48,334,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
마른내로 47 명보극장,중구 초동 18-5,126.993216657,37.5646809,100115,ID000128,KOR,명보아트홀 가온홀,,중구,,,,,,02-2274-2121,공연장,926,132.48,333,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
통일로 120,중구 충정로1가 85,126.967526939,37.565851677,100115,ID000129,KOR,NH아트홀,,중구,,,,,,02-3143-5959,공연장,2877,137.9,406,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
필동로1길 30 ,중구 필동3가 26,127.000573828,37.558385138,100115,ID000130,KOR,동국대 이해랑예술극장,,중구,,,,,,02-2260-8901,공연장,2003,262.3,302,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,0,#0000FF,,03/03/2017,03/03/2017
동호로 272,중구 장충동2가 190-10,127.003753755,37.55931022,100115,ID000131,KOR,스테이지팩토리  홀,,중구,,,,,,02-720-0749,공연장,144,28.2,180,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,0,#0000FF,,03/03/2017,03/03/2017
정동길 3,중구 정동 22-8,126.970142004,37.567984169,100115,ID000132,KOR,경향 아트힐 4관,,중구,,,,,,02-720-0544,공연장,572,92.4,347,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
정동길 3,중구 정동 22-8,126.970142004,37.567984169,100115,ID000133,KOR,경향 아트힐 6관,,중구,,,,,,02-720-0544,공연장,240,77.63,174,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
정동길 3,중구 정동 22-8,126.970142004,37.567984169,100115,ID000134,KOR,경향 아트힐 5관,,중구,,,,,,02-720-0544,공연장,240,82.6,213,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
정동길3,중구 정동 22,126.991779929,37.569791958,100115,ID000135,KOR,JUMP 전용극장,,중구,,,,,,02-722-3995,공연장,1139,222,222,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,0,#0000FF,,03/03/2017,03/03/2017
대학로14길 29,종로구 혜화동 163-24,127.002320343,37.584605712,100115,ID000054,KOR,네모극장,,종로구,,,,,,02-741-9935,공연장,300,148,263,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,0,#0000FF,,03/03/2017,03/03/2017
대학로8가길 85,종로구 동숭동 1-80,127.003629794,37.58227032,100115,ID000056,KOR,문화공간 필링 2관,,종로구,,,,,,1544-8303,공연장,83,72,157,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
김상옥로 37 연동교회,종로구 연지동 136-12,127.001588593,37.573567362,100115,ID000057,KOR,열림홀,,종로구,,,,,,02-745-5905,공연장,381,32,143,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,0,#0000FF,,03/03/2017,03/03/2017
관악로 1,관악구 신림동 산 56-1,126.957131534,37.453336957,100115,ID000308,KOR,서울대학교미술관,,관악구,,,,,,02-880-9504,미술관,777,,,,,,,,,,,,,,,,,,,분류,면적(㎡),,,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
대학로10길 26,종로구 동숭동 1-96,127.003706277,37.581600382,100115,ID000058,KOR,동키홀,,종로구,,,,,,070-8129-7420,공연장,310,56,230,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
종암로 167,성북구 하월곡동 230,127.030977614,37.605045012,100115,ID000502,KOR,달빛마루도서관,,성북구,,,,,,02-911-0993,도서관,구립,`12.2.2,130,,,,,,,,,,,,,,,,,분류,구분,개관일,열람석,,,,,,,,,,,,,,,,,,1,0,#0000FF,,03/03/2017,03/03/2017
종로33길 15,종로구 연지동 270,127.001207078,37.571891464,100115,ID000060,KOR,두산아트센터 Space111,,종로구,,,,,,02-708-5001,공연장,797,153,300,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,0,#0000FF,,03/03/2017,03/03/2017
혜화로 10-3,종로구 혜화동 74-38,127.000476473,37.586637371,100115,ID000061,KOR,소극장 모시는 사람들,,종로구,,,,,,02-507-6487,공연장,200,30,104,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,0,#0000FF,,03/03/2017,03/03/2017
혜화로5길 5,종로구 명륜1가 46-11,126.999752325,37.586820915,100115,ID000062,KOR,선돌극장,,종로구,,,,,,02-747-3226,공연장,129,72,130,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
인왕산로1길 21,종로구 사직동 284-1,126.964650396,37.574269344,100115,ID000059,KOR,광화문아트홀,,종로구,,,,,,02-722-3416,공연장,507,112,370,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,0,#0000FF,,03/03/2017,03/03/2017
삼일대로 428,종로구 낙원동 284-6,126.9878282,37.5725858,100115,ID000658,KOR,허리우드 클래식,,종로구,,,,,,02-3672-4232,영화관,1,300,,,,,,,,,,,,,,,,,,분류,스크린수,좌석수,,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
혜화로9길 7,종로구 명륜1가 36-4,126.999392206,37.587697302,100115,ID000063,KOR,나온씨어터,,종로구,,,,,,02-3675-3677,공연장,56,11,116,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
삼일대로 428,종로구 낙원동 284-6,126.987789977,37.572568856,100115,ID000064,KOR,사랑하면 춤을춰라 전용관,,종로구,,,,,,02-3676-7616,공연장,421,160,388,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,0,#0000FF,,03/03/2017,03/03/2017
대학로12길 69,종로구 동숭동 1-92,127.003944223,37.581025474,100115,ID000067,KOR,에스엠아트홀,,종로구,,,,,,02-744-6700,공연장,316.8,69.5,345,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,0,#0000FF,,03/03/2017,03/03/2017
대학로10길 17,종로구 동숭동 1-67,127.003164875,37.582080384,100115,ID000066,KOR,대학로예술극장 소극장,,종로구,,,,,,02-3668-0007,공연장,1253,119,254,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,0,#0000FF,,03/03/2017,03/03/2017
대학로12길 83,종로구 동숭동 1-181,127.003933106,37.580259186,100115,ID000069,KOR,대학로 아트원씨어터 1관,,종로구,,,,,,02-743-0181,공연장,627.16,127.53,393,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
대학로10길 17,종로구 동숭동 1-67,127.003164875,37.582080384,100115,ID000065,KOR,대학로예술극장 ,,종로구,,,,,,02-3668-0007,공연장,1253,396,498,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,0,#0000FF,,03/03/2017,03/03/2017
대학로12길 83,종로구 동숭동 1-181,127.003933106,37.580259186,100115,ID000070,KOR,대학로 아트원씨어터 2관,,종로구,,,,,,02-762-0010,공연장,369.86,73.2,293,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
이화장길 100,종로구 동숭동 187-8,127.004648337,37.57979685,100115,ID000068,KOR,대학로예술극장 3관,,종로구,,,,,,02-741-3124,공연장,237,67,184,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,0,#0000FF,,03/03/2017,03/03/2017
대학로10길 5,종로구 동숭동 1-60,127.00255716,37.581885623,100115,ID000074,KOR,해피씨어터,,종로구,,,,,,02-747-2070,공연장,251.91,63.18,232,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
대학로 144,종로구 혜화동 185,127.002151423,37.583958694,100115,ID000071,KOR,한양레퍼토리씨어터,,종로구,,,,,,02-764-6460,공연장,391.4,65.83,191,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,0,#0000FF,,03/03/2017,03/03/2017
창덕궁길 29-4,종로구 원서동 157-1,126.988968358,37.578952621,100115,ID000072,KOR,북촌아트홀,,종로구,,,,,,02-988-2258,공연장,148,66,160,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,0,#0000FF,,03/03/2017,03/03/2017
성균관로 87,종로구 명륜1가 5,126.998278966,37.58997235,100115,ID000073,KOR,Ground-SYN(그라운드 씬),,종로구,,,,,,02-3676-2352,공연장,187.89,46.75,201,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
삼일대로9길 12,중구 저동1가 20-2,126.987968283,37.563469661,100115,ID000125,KOR,삼일로창고극장,,중구,,,,,,02-319-8020,공연장,100,65.8,100,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
대학로 116,종로구 동숭동 1-115,127.002324801,37.581540101,100115,ID000077,KOR,샘터파랑새극장2관,,종로구,,,,,,02-747-2070,공연장,217.96,45.1,143,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,0,#0000FF,,03/03/2017,03/03/2017
대학로10길 5,종로구 동숭동 1-60,127.00255716,37.581885623,100115,ID000076,KOR,대학로바탕골소극장,,종로구,,,,,,02-3673-1297,공연장,194.48,54.32,190,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
새말로 97,구로구 구로5동 3-25,126.890302396,37.506970548,100115,ID000215,KOR,프라임아트홀,,구로구,,,,,,02-2111-1146,공연장,604,249,400,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
마른내로 47 명보극장,중구 초동 18-5,126.993216657,37.5646809,100115,ID000126,KOR,명보아트홀 하람홀,,중구,,,,,,02-2274-2121,공연장,606,120.69,226,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,4,#0000FF,,03/03/2017,03/03/2017
대학로12길 73,종로구 동숭동 1-144,127.003956199,37.580768406,100115,ID000075,KOR,컬처스페이스 엔유(쁘띠첼 씨어터),,종로구,,,,,,02-371-8393,공연장,524.46,89.23,314,,,,,,,,,,,,,,,,,분류,면적(㎡),무대면적(㎡),객석수,,,,,,,,,,,,,,,,,,1,0,#0000FF,,03/03/2017,03/03/2017
